method,structure,disease,n_patients,mean_max_vol_ml,std_max_vol_ml,mean_min_vol_ml,std_min_vol_ml
adapter,lv,DCM,10,3116.3411324086965,727.7349410230881,0.0,0.0
adapter,lv,HCM,10,3049.0406763132555,991.142257133055,0.0,0.0
adapter,lv,MINF,10,3494.5802784085595,1703.983752123948,0.0,0.0
adapter,lv,NOR,10,3364.6764038659157,1137.510505377298,0.0,0.0
adapter,lv,RV,10,3243.1648159706924,658.9685654145808,0.0,0.0
adapter,myo,DCM,10,892.4819532564385,989.800021327975,101.05204521205614,20.7284694428593
adapter,myo,HCM,10,580.5775401732166,476.51163791900046,102.17190252627253,31.94088825125903
adapter,myo,MINF,10,345.68817522146753,398.3348339924644,92.93599498736286,35.74269519806087
adapter,myo,NOR,10,569.9310875734502,960.0380131538994,65.88661421052197,17.20263515371918
adapter,myo,RV,10,563.9827740982429,662.7007543332264,55.127973927971276,14.60920823116352
adapter,rv,DCM,10,199.88278187234164,109.96010982152445,14.339258985148467,19.002720213919893
adapter,rv,HCM,10,91.40768553299522,50.78214878797852,3.990367126464844,9.11317911129796
adapter,rv,MINF,10,79.78204920998864,52.708585808620725,6.090450324805621,15.032250186319537
adapter,rv,NOR,10,114.54313649106572,63.33003161161999,6.16533203125,15.923894988787197
adapter,rv,RV,10,233.01267995497832,122.17535777443868,39.90504514713753,23.18159814842863
baseline,lv,DCM,10,298.6322221512968,78.94393054838824,240.79380651637456,73.16146898570524
baseline,lv,HCM,10,156.794911014503,40.692221696937224,58.82149171084327,19.742834727633817
baseline,lv,MINF,10,231.73220227263982,49.02858703372003,160.49044922890394,47.44130998994643
baseline,lv,NOR,10,167.80934588231818,83.98406378986445,85.22187641961385,48.74716969928508
baseline,lv,RV,10,177.20742000225397,74.16717135094366,99.21651225863548,49.93322342615767
baseline,myo,DCM,10,183.36514498123677,34.80155367803116,157.60666461889105,25.984694273197913
baseline,myo,HCM,10,219.004400013751,79.82662595962158,171.8077377281726,67.81813531966837
baseline,myo,MINF,10,184.66446339099306,41.76987396904636,155.29495372120442,35.13076551540439
baseline,myo,NOR,10,125.69037820912368,33.226035570910916,94.67607975606302,27.499761474889862
baseline,myo,RV,10,121.77405096747918,30.876574606480226,92.72691781997787,26.295193852978745
baseline,rv,DCM,10,374.3788553203732,144.15606327676758,293.59027167289804,121.17278530949056
baseline,rv,HCM,10,213.98027605445196,57.50746414080456,81.9634519857785,24.632373580647556
baseline,rv,MINF,10,265.32804402110054,65.73502000083118,170.84634007704705,52.592885733053066
baseline,rv,NOR,10,216.47564470111973,85.19616231179009,116.7798890425149,46.685354956200484
baseline,rv,RV,10,281.0377505948214,74.09339202854859,168.20210688105675,41.7966470253996
